Tiempo(s),Pitch(rad),Roll(rad),Yaw(rad)
29.98,-0.055,-0.052,-2.089
30.54,-0.055,-0.052,-2.089
30.59,-0.055,-0.052,-2.09
31.14,-0.055,-0.052,-2.089
31.19,-0.055,-0.053,-2.089
31.24,-0.055,-0.052,-2.09
31.79,-0.055,-0.052,-2.09
31.84,-0.055,-0.052,-2.089
32.39,-0.055,-0.052,-2.09
32.44,-0.055,-0.052,-2.09
32.49,-0.055,-0.052,-2.089
33.05,-0.055,-0.053,-2.089
33.1,-0.055,-0.052,-2.09
33.15,-0.055,-0.052,-2.09
33.7,-0.055,-0.053,-2.09
33.75,-0.055,-0.052,-2.09
34.3,-0.055,-0.052,-2.091
34.36,-0.055,-0.052,-2.091
34.41,-0.055,-0.053,-2.091
34.96,-0.055,-0.053,-2.091
35.01,-0.055,-0.053,-2.091
35.56,-0.055,-0.053,-2.091
35.61,-0.055,-0.052,-2.091
35.67,-0.055,-0.053,-2.092
35.72,-0.055,-0.053,-2.092
36.27,-0.055,-0.053,-2.092
36.32,-0.055,-0.053,-2.092
36.87,-0.055,-0.053,-2.092
36.92,-0.055,-0.053,-2.092
36.97,-0.055,-0.053,-2.092
37.53,-0.055,-0.053,-2.092
37.58,-0.055,-0.053,-2.092
37.63,-0.055,-0.052,-2.092
38.18,-0.055,-0.052,-2.092
38.23,-0.055,-0.052,-2.093
38.78,-0.055,-0.052,-2.093
38.83,-0.055,-0.052,-2.093
38.88,-0.055,-0.052,-2.093
39.43,-0.055,-0.052,-2.093
39.48,-0.055,-0.052,-2.093
39.53,-0.055,-0.052,-2.093
40.08,-0.055,-0.052,-2.093
40.14,-0.055,-0.052,-2.093
40.69,-0.055,-0.052,-2.093
40.74,-0.055,-0.052,-2.093
40.79,-0.055,-0.052,-2.093
41.34,-0.055,-0.052,-2.093
41.39,-0.055,-0.052,-2.093
41.94,-0.055,-0.052,-2.093
41.99,-0.055,-0.052,-2.093
42.04,-0.055,-0.052,-2.093
42.6,-0.055,-0.052,-2.093
42.65,-0.055,-0.052,-2.093
42.7,-0.055,-0.052,-2.093
43.25,-0.055,-0.052,-2.093
43.3,-0.056,-0.052,-2.093
43.35,-0.055,-0.052,-2.093
43.9,-0.052,-0.051,-2.097
43.95,-0.052,-0.051,-2.097
44.5,-0.053,-0.051,-2.112
44.55,-0.055,-0.051,-2.127
44.6,-0.055,-0.051,-2.127
45.16,-0.054,-0.051,-2.128
45.21,-0.055,-0.051,-2.127
45.76,-0.054,-0.051,-2.126
45.81,-0.057,-0.051,-2.118
45.86,-0.057,-0.051,-2.094
46.41,-0.055,-0.052,-2.086
46.46,-0.054,-0.052,-2.089
46.51,-0.054,-0.052,-2.089
47.06,-0.054,-0.052,-2.089
47.11,-0.054,-0.052,-2.09
47.66,-0.054,-0.052,-2.09
47.71,-0.054,-0.052,-2.09
47.77,-0.054,-0.052,-2.09
48.32,-0.054,-0.052,-2.09
48.37,-0.054,-0.052,-2.09
48.42,-0.054,-0.052,-2.091
48.97,-0.054,-0.052,-2.091
49.02,-0.054,-0.052,-2.091
49.57,-0.054,-0.052,-2.091
49.62,-0.054,-0.052,-2.091
49.67,-0.054,-0.052,-2.091
50.22,-0.053,-0.052,-2.091
50.27,-0.053,-0.052,-2.091
50.32,-0.053,-0.052,-2.091
50.88,-0.053,-0.052,-2.091
50.93,-0.053,-0.052,-2.092
51.48,-0.053,-0.052,-2.092
51.53,-0.053,-0.052,-2.092
51.58,-0.053,-0.052,-2.092
52.13,-0.053,-0.052,-2.092
52.18,-0.053,-0.052,-2.092
52.23,-0.053,-0.052,-2.092
52.78,-0.053,-0.052,-2.092
52.83,-0.053,-0.052,-2.092
53.39,-0.053,-0.052,-2.093
53.44,-0.053,-0.052,-2.093
53.49,-0.053,-0.052,-2.093
54.04,-0.053,-0.052,-2.093
54.09,-0.053,-0.052,-2.093
54.14,-0.053,-0.052,-2.093
54.69,-0.053,-0.052,-2.093
54.74,-0.053,-0.052,-2.093
54.79,-0.053,-0.052,-2.093
55.34,-0.053,-0.052,-2.093
55.39,-0.053,-0.052,-2.093
55.45,-0.053,-0.052,-2.094
56.0,-0.053,-0.052,-2.093
56.05,-0.053,-0.052,-2.094
56.6,-0.053,-0.052,-2.094
56.65,-0.053,-0.052,-2.094
57.2,-0.053,-0.052,-2.094
57.25,-0.053,-0.052,-2.094
57.3,-0.053,-0.052,-2.094
57.85,-0.053,-0.052,-2.094
57.9,-0.053,-0.052,-2.094
57.96,-0.053,-0.052,-2.094
58.51,-0.053,-0.052,-2.094
58.56,-0.053,-0.052,-2.094
58.61,-0.053,-0.052,-2.095
59.16,-0.053,-0.052,-2.095
59.21,-0.053,-0.052,-2.094
59.76,-0.053,-0.052,-2.095
59.81,-0.053,-0.051,-2.095
59.86,-0.053,-0.051,-2.094
60.42,-0.053,-0.051,-2.094
60.47,-0.053,-0.051,-2.094
61.02,-0.053,-0.051,-2.094
61.07,-0.053,-0.051,-2.094
61.12,-0.053,-0.051,-2.094
61.67,-0.053,-0.051,-2.094
61.72,-0.053,-0.052,-2.094
61.77,-0.053,-0.051,-2.094
62.32,-0.053,-0.051,-2.094
62.37,-0.053,-0.052,-2.094
62.42,-0.053,-0.052,-2.094
62.98,-0.053,-0.052,-2.094
63.03,-0.053,-0.052,-2.094
63.58,-0.053,-0.052,-2.094
63.63,-0.053,-0.052,-2.094
63.68,-0.053,-0.051,-2.094
64.23,-0.053,-0.051,-2.094
64.28,-0.053,-0.051,-2.094
64.33,-0.053,-0.051,-2.094
64.88,-0.053,-0.051,-2.094
64.93,-0.053,-0.051,-2.094
65.48,-0.053,-0.051,-2.094
65.53,-0.053,-0.051,-2.094
65.59,-0.053,-0.051,-2.094
66.14,-0.053,-0.051,-2.094
66.19,-0.053,-0.051,-2.094
66.24,-0.053,-0.051,-2.094
66.79,-0.053,-0.051,-2.094
66.84,-0.053,-0.051,-2.094
67.39,-0.053,-0.051,-2.094
67.44,-0.053,-0.051,-2.095
67.49,-0.053,-0.051,-2.095
68.05,-0.053,-0.051,-2.095
68.1,-0.053,-0.051,-2.095
68.65,-0.053,-0.051,-2.095
68.7,-0.053,-0.051,-2.095
68.75,-0.053,-0.051,-2.095
69.3,-0.053,-0.051,-2.095
69.35,-0.053,-0.051,-2.095
69.4,-0.053,-0.052,-2.095
69.95,-0.053,-0.052,-2.094
70.0,-0.053,-0.051,-2.094
70.05,-0.053,-0.051,-2.094
70.6,-0.053,-0.051,-2.094
70.66,-0.053,-0.051,-2.094
70.71,-0.053,-0.051,-2.094
71.26,-0.053,-0.051,-2.094
71.31,-0.053,-0.051,-2.095
71.86,-0.053,-0.051,-2.095
71.91,-0.053,-0.051,-2.095
72.46,-0.053,-0.052,-2.095
72.51,-0.053,-0.051,-2.095
72.56,-0.053,-0.052,-2.094
73.11,-0.053,-0.052,-2.094
73.16,-0.053,-0.052,-2.094
73.22,-0.053,-0.052,-2.095
73.77,-0.053,-0.052,-2.095
73.82,-0.053,-0.052,-2.095
73.87,-0.053,-0.052,-2.095
74.42,-0.053,-0.052,-2.095
74.47,-0.053,-0.052,-2.095
74.52,-0.053,-0.052,-2.095
75.07,-0.053,-0.052,-2.094
75.12,-0.053,-0.052,-2.094
75.67,-0.053,-0.052,-2.094
75.73,-0.053,-0.052,-2.094
76.28,-0.053,-0.052,-2.093
76.33,-0.053,-0.051,-2.094
76.38,-0.053,-0.051,-2.094
76.93,-0.053,-0.052,-2.093
76.98,-0.053,-0.052,-2.093
77.03,-0.053,-0.051,-2.094
77.58,-0.053,-0.052,-2.094
77.63,-0.053,-0.051,-2.094
77.68,-0.053,-0.052,-2.094
78.24,-0.053,-0.052,-2.094
78.29,-0.053,-0.052,-2.094
78.34,-0.053,-0.052,-2.094
78.89,-0.053,-0.052,-2.094
78.94,-0.053,-0.052,-2.094
79.49,-0.053,-0.052,-2.094
79.54,-0.053,-0.052,-2.094
80.09,-0.053,-0.052,-2.094
80.14,-0.053,-0.052,-2.094
80.19,-0.053,-0.052,-2.093
80.75,-0.053,-0.052,-2.093
80.8,-0.053,-0.052,-2.093
80.85,-0.053,-0.052,-2.094
81.4,-0.053,-0.052,-2.094
81.45,-0.053,-0.052,-2.094
81.5,-0.053,-0.052,-2.095
82.05,-0.053,-0.052,-2.095
82.1,-0.053,-0.052,-2.095
82.15,-0.053,-0.052,-2.094
82.71,-0.053,-0.052,-2.094
82.76,-0.053,-0.052,-2.094
83.31,-0.053,-0.052,-2.094
83.36,-0.053,-0.052,-2.094
83.41,-0.053,-0.052,-2.093
83.96,-0.053,-0.051,-2.093
84.01,-0.053,-0.052,-2.093
84.56,-0.053,-0.051,-2.093
84.61,-0.053,-0.052,-2.093
84.66,-0.053,-0.052,-2.092
85.22,-0.053,-0.052,-2.092
85.27,-0.053,-0.052,-2.092
85.32,-0.053,-0.052,-2.092
85.87,-0.053,-0.052,-2.092
85.92,-0.053,-0.052,-2.092
85.97,-0.053,-0.052,-2.092
86.52,-0.053,-0.052,-2.092
86.58,-0.053,-0.052,-2.092
87.13,-0.053,-0.052,-2.092
87.18,-0.053,-0.052,-2.093
87.23,-0.053,-0.052,-2.093
87.78,-0.053,-0.052,-2.093
87.83,-0.053,-0.052,-2.093
88.38,-0.053,-0.052,-2.093
88.43,-0.053,-0.052,-2.094
88.48,-0.053,-0.052,-2.094
89.04,-0.053,-0.052,-2.094
89.09,-0.053,-0.052,-2.093
89.14,-0.053,-0.052,-2.093
89.69,-0.053,-0.052,-2.093
89.74,-0.053,-0.052,-2.093
89.79,-0.053,-0.052,-2.092
90.34,-0.053,-0.052,-2.092
90.39,-0.053,-0.052,-2.092
90.94,-0.053,-0.052,-2.092
90.99,-0.053,-0.052,-2.092
91.55,-0.053,-0.052,-2.091
91.6,-0.053,-0.052,-2.091
91.65,-0.053,-0.052,-2.091
92.2,-0.053,-0.052,-2.091
92.25,-0.053,-0.052,-2.091
92.3,-0.052,-0.052,-2.091
92.85,-0.053,-0.052,-2.091
92.9,-0.052,-0.052,-2.091
92.95,-0.053,-0.052,-2.091
93.5,-0.052,-0.052,-2.091
93.56,-0.053,-0.052,-2.091
94.11,-0.053,-0.052,-2.091
94.16,-0.053,-0.052,-2.091
94.21,-0.053,-0.052,-2.091
94.76,-0.053,-0.052,-2.09
94.81,-0.053,-0.052,-2.09
94.86,-0.053,-0.052,-2.09
95.42,-0.053,-0.051,-2.09
95.47,-0.053,-0.052,-2.09
96.02,-0.053,-0.052,-2.09
96.07,-0.053,-0.052,-2.089
96.12,-0.053,-0.052,-2.089
96.67,-0.053,-0.052,-2.089
96.72,-0.053,-0.052,-2.089
96.77,-0.053,-0.052,-2.089
97.32,-0.053,-0.052,-2.088
97.37,-0.053,-0.052,-2.089
97.42,-0.053,-0.052,-2.089
97.98,-0.053,-0.052,-2.09
98.03,-0.053,-0.052,-2.09
98.58,-0.053,-0.052,-2.09
98.63,-0.053,-0.052,-2.09
98.68,-0.053,-0.052,-2.09
99.23,-0.053,-0.052,-2.09
99.28,-0.053,-0.052,-2.09
99.33,-0.053,-0.052,-2.09
99.89,-0.053,-0.052,-2.09
99.94,-0.052,-0.052,-2.09
100.49,-0.052,-0.052,-2.09
100.54,-0.052,-0.052,-2.089
100.59,-0.052,-0.052,-2.089
101.14,-0.052,-0.052,-2.089
101.19,-0.052,-0.052,-2.089
101.24,-0.052,-0.052,-2.089
101.8,-0.052,-0.052,-2.088
101.85,-0.052,-0.052,-2.088
102.4,-0.052,-0.052,-2.088
102.45,-0.052,-0.052,-2.088
102.5,-0.052,-0.052,-2.088
103.05,-0.052,-0.052,-2.088
103.1,-0.052,-0.052,-2.087
103.15,-0.052,-0.052,-2.087
103.7,-0.052,-0.052,-2.087
103.75,-0.052,-0.052,-2.087
104.3,-0.052,-0.051,-2.087
104.36,-0.052,-0.052,-2.087
104.91,-0.052,-0.052,-2.086
104.96,-0.052,-0.052,-2.086
105.01,-0.052,-0.052,-2.086
105.06,-0.052,-0.052,-2.086
105.61,-0.052,-0.051,-2.086
105.66,-0.053,-0.051,-2.086
106.21,-0.053,-0.052,-2.086
106.26,-0.053,-0.051,-2.085
106.32,-0.053,-0.051,-2.085
106.87,-0.053,-0.051,-2.085
106.92,-0.053,-0.051,-2.085
106.97,-0.053,-0.051,-2.085
107.52,-0.053,-0.051,-2.085
107.57,-0.053,-0.051,-2.085
108.12,-0.053,-0.051,-2.084
108.17,-0.053,-0.051,-2.084
108.22,-0.053,-0.051,-2.084
108.77,-0.053,-0.051,-2.084
108.82,-0.053,-0.051,-2.084
109.37,-0.053,-0.051,-2.084
109.42,-0.053,-0.051,-2.084
109.48,-0.052,-0.051,-2.084
110.03,-0.053,-0.051,-2.084
110.08,-0.053,-0.051,-2.084
110.13,-0.053,-0.051,-2.083
110.68,-0.052,-0.051,-2.083
110.73,-0.052,-0.051,-2.083
110.78,-0.052,-0.051,-2.083
111.33,-0.052,-0.051,-2.083
111.38,-0.052,-0.051,-2.083
111.93,-0.052,-0.051,-2.082
111.98,-0.052,-0.051,-2.082
112.03,-0.052,-0.051,-2.082
112.59,-0.052,-0.051,-2.082
112.64,-0.052,-0.051,-2.082
113.19,-0.052,-0.051,-2.082
113.24,-0.052,-0.051,-2.082
113.29,-0.052,-0.051,-2.081
113.84,-0.052,-0.051,-2.081
113.89,-0.052,-0.051,-2.081
113.94,-0.052,-0.051,-2.08
114.49,-0.053,-0.051,-2.081
114.54,-0.052,-0.051,-2.08
114.59,-0.052,-0.051,-2.08
115.15,-0.052,-0.051,-2.08
115.2,-0.052,-0.051,-2.08
115.75,-0.053,-0.051,-2.08
115.8,-0.052,-0.051,-2.079
115.85,-0.052,-0.051,-2.08
116.4,-0.052,-0.051,-2.079
116.45,-0.052,-0.051,-2.079
117.0,-0.053,-0.051,-2.079
117.05,-0.052,-0.051,-2.079
117.1,-0.052,-0.051,-2.079
117.65,-0.052,-0.051,-2.078
117.71,-0.053,-0.051,-2.078
117.76,-0.052,-0.051,-2.078
118.31,-0.052,-0.051,-2.078
118.36,-0.053,-0.051,-2.078
118.41,-0.052,-0.051,-2.078
118.96,-0.053,-0.052,-2.076
119.01,-0.053,-0.051,-2.078
119.56,-0.052,-0.051,-2.078
119.61,-0.052,-0.051,-2.076
119.66,-0.052,-0.051,-2.078
120.21,-0.053,-0.051,-2.077
120.26,-0.052,-0.051,-2.077
120.82,-0.053,-0.051,-2.077
120.87,-0.052,-0.051,-2.077
120.92,-0.053,-0.051,-2.077
121.47,-0.053,-0.051,-2.077
121.52,-0.052,-0.051,-2.077
121.57,-0.053,-0.051,-2.077
122.12,-0.052,-0.051,-2.077
122.17,-0.052,-0.051,-2.077
122.72,-0.053,-0.051,-2.076
122.77,-0.053,-0.051,-2.076
122.82,-0.052,-0.051,-2.076
122.87,-0.052,-0.051,-2.076
123.43,-0.052,-0.051,-2.076
123.48,-0.053,-0.051,-2.076
124.03,-0.052,-0.051,-2.075
124.08,-0.052,-0.051,-2.076
124.63,-0.052,-0.051,-2.076
124.68,-0.052,-0.051,-2.075
124.73,-0.052,-0.051,-2.075
125.28,-0.052,-0.051,-2.075
125.33,-0.052,-0.051,-2.075
125.38,-0.052,-0.051,-2.075
125.93,-0.052,-0.051,-2.075
125.99,-0.052,-0.051,-2.075
126.04,-0.052,-0.051,-2.075
126.59,-0.052,-0.051,-2.075
126.64,-0.052,-0.051,-2.074
127.19,-0.052,-0.051,-2.074
127.24,-0.052,-0.051,-2.074
127.29,-0.052,-0.051,-2.075
127.84,-0.053,-0.05,-2.075
127.9,-0.052,-0.051,-2.074
128.45,-0.052,-0.051,-2.074
128.5,-0.052,-0.051,-2.074
128.55,-0.052,-0.051,-2.074
129.1,-0.052,-0.051,-2.074
129.15,-0.052,-0.051,-2.074
129.2,-0.053,-0.052,-2.073
129.75,-0.052,-0.051,-2.074
129.8,-0.052,-0.052,-2.073
129.85,-0.053,-0.051,-2.075
130.4,-0.052,-0.051,-2.074
130.45,-0.052,-0.051,-2.073
130.5,-0.051,-0.051,-2.072
131.06,-0.052,-0.051,-2.073
131.11,-0.052,-0.051,-2.073
131.66,-0.052,-0.051,-2.073
131.71,-0.052,-0.051,-2.073
132.26,-0.052,-0.051,-2.073
132.31,-0.052,-0.051,-2.073
132.36,-0.053,-0.051,-2.074
132.91,-0.051,-0.051,-2.073
132.96,-0.052,-0.05,-2.073
133.01,-0.053,-0.051,-2.074
133.56,-0.052,-0.051,-2.074
133.61,-0.053,-0.051,-2.073
133.66,-0.052,-0.052,-2.072
134.22,-0.053,-0.051,-2.073
134.27,-0.052,-0.051,-2.072
134.32,-0.051,-0.051,-2.071
134.87,-0.053,-0.051,-2.071
134.92,-0.052,-0.051,-2.072
135.47,-0.052,-0.051,-2.071
135.52,-0.052,-0.051,-2.072
135.57,-0.051,-0.051,-2.072
136.12,-0.052,-0.051,-2.071
136.17,-0.052,-0.05,-2.071
136.72,-0.052,-0.051,-2.07
136.78,-0.053,-0.051,-2.071
136.83,-0.053,-0.051,-2.07
137.38,-0.053,-0.051,-2.07
137.43,-0.053,-0.051,-2.07
137.48,-0.053,-0.051,-2.07
138.03,-0.052,-0.051,-2.069
138.08,-0.052,-0.05,-2.07
138.13,-0.052,-0.051,-2.069
138.68,-0.052,-0.051,-2.07
138.73,-0.053,-0.05,-2.07
139.29,-0.052,-0.051,-2.07
139.34,-0.052,-0.051,-2.069
139.39,-0.053,-0.051,-2.069
139.94,-0.052,-0.051,-2.07
139.99,-0.052,-0.051,-2.069
140.54,-0.052,-0.051,-2.07
140.59,-0.053,-0.051,-2.069
140.65,-0.052,-0.051,-2.069
141.2,-0.052,-0.051,-2.069
141.25,-0.052,-0.051,-2.069
141.3,-0.052,-0.051,-2.069
141.85,-0.052,-0.051,-2.069
141.9,-0.052,-0.051,-2.069
141.95,-0.052,-0.051,-2.069
142.5,-0.052,-0.051,-2.069
142.55,-0.052,-0.051,-2.069
143.11,-0.052,-0.051,-2.068
143.16,-0.052,-0.051,-2.069
143.71,-0.052,-0.051,-2.069
143.76,-0.052,-0.052,-2.069
143.81,-0.052,-0.051,-2.069
144.36,-0.053,-0.051,-2.07
144.41,-0.052,-0.051,-2.069
144.46,-0.053,-0.051,-2.069
145.01,-0.052,-0.051,-2.07
145.07,-0.051,-0.051,-2.069
145.12,-0.051,-0.052,-2.068
145.67,-0.051,-0.052,-2.069
145.72,-0.051,-0.052,-2.069
145.77,-0.051,-0.051,-2.07
146.32,-0.051,-0.051,-2.07
146.37,-0.051,-0.051,-2.069
146.92,-0.051,-0.051,-2.071
146.97,-0.052,-0.051,-2.07
147.02,-0.051,-0.051,-2.069
147.57,-0.051,-0.051,-2.07
147.62,-0.051,-0.051,-2.069
148.17,-0.05,-0.052,-2.07
148.22,-0.051,-0.051,-2.069
148.28,-0.051,-0.052,-2.069
148.83,-0.051,-0.051,-2.07
148.88,-0.051,-0.051,-2.071
148.93,-0.05,-0.051,-2.071
149.48,-0.05,-0.052,-2.072
149.53,-0.052,-0.051,-2.071
149.58,-0.053,-0.051,-2.073
150.13,-0.052,-0.051,-2.071
150.18,-0.054,-0.051,-2.073
150.74,-0.053,-0.051,-2.072
150.79,-0.054,-0.052,-2.071
151.34,-0.053,-0.051,-2.071
151.39,-0.053,-0.052,-2.072
151.44,-0.052,-0.051,-2.072
151.99,-0.052,-0.051,-2.073
152.04,-0.052,-0.051,-2.072
152.09,-0.052,-0.051,-2.072
152.64,-0.052,-0.051,-2.073
152.69,-0.053,-0.051,-2.072
152.75,-0.053,-0.051,-2.072
153.3,-0.053,-0.051,-2.072
153.35,-0.053,-0.051,-2.072
153.4,-0.052,-0.051,-2.072
153.95,-0.053,-0.051,-2.073
154.0,-0.052,-0.051,-2.073
154.55,-0.052,-0.051,-2.073
154.6,-0.052,-0.051,-2.073
155.15,-0.052,-0.051,-2.073
155.2,-0.052,-0.051,-2.073
155.26,-0.052,-0.051,-2.073
155.81,-0.052,-0.051,-2.073
155.86,-0.052,-0.051,-2.073
155.91,-0.052,-0.051,-2.073
156.46,-0.052,-0.051,-2.073
156.51,-0.052,-0.051,-2.073
156.56,-0.052,-0.051,-2.073
157.11,-0.052,-0.051,-2.073
157.16,-0.052,-0.051,-2.073
157.21,-0.052,-0.051,-2.073
157.76,-0.052,-0.051,-2.073
157.81,-0.052,-0.051,-2.073
158.37,-0.052,-0.051,-2.073
158.42,-0.052,-0.051,-2.073
158.47,-0.052,-0.051,-2.074
159.02,-0.052,-0.051,-2.074
159.07,-0.052,-0.052,-2.074
159.12,-0.052,-0.052,-2.074
159.67,-0.052,-0.052,-2.074
159.72,-0.052,-0.052,-2.074
160.27,-0.052,-0.051,-2.074
160.32,-0.052,-0.052,-2.074
160.38,-0.052,-0.052,-2.074
160.93,-0.052,-0.052,-2.074
160.98,-0.052,-0.052,-2.074
161.03,-0.052,-0.052,-2.074
161.58,-0.052,-0.052,-2.074
161.63,-0.052,-0.052,-2.074
162.18,-0.052,-0.052,-2.074
162.23,-0.052,-0.052,-2.074
162.28,-0.052,-0.052,-2.073
162.83,-0.052,-0.052,-2.073
162.88,-0.052,-0.052,-2.073
162.93,-0.052,-0.052,-2.073
163.49,-0.052,-0.052,-2.073
163.54,-0.052,-0.051,-2.073
164.09,-0.052,-0.052,-2.073
164.14,-0.052,-0.052,-2.073
164.19,-0.052,-0.052,-2.073
164.74,-0.052,-0.052,-2.073
164.79,-0.052,-0.052,-2.073
164.84,-0.052,-0.052,-2.073
165.39,-0.052,-0.051,-2.073
165.44,-0.052,-0.052,-2.073
165.49,-0.052,-0.051,-2.073
166.05,-0.052,-0.051,-2.072
166.1,-0.052,-0.051,-2.072
166.65,-0.052,-0.051,-2.072
166.7,-0.052,-0.052,-2.072
166.75,-0.052,-0.052,-2.072
167.3,-0.052,-0.052,-2.072
167.35,-0.052,-0.051,-2.072
167.9,-0.052,-0.052,-2.072
167.95,-0.052,-0.051,-2.072
168.0,-0.052,-0.051,-2.072
168.56,-0.052,-0.051,-2.071
168.61,-0.052,-0.051,-2.071
168.66,-0.052,-0.051,-2.071
169.21,-0.052,-0.051,-2.071
169.26,-0.052,-0.051,-2.071
169.81,-0.052,-0.051,-2.071
169.86,-0.052,-0.051,-2.071
169.91,-0.052,-0.051,-2.071
170.46,-0.052,-0.051,-2.071
170.51,-0.052,-0.052,-2.07
171.07,-0.052,-0.051,-2.07
171.12,-0.052,-0.051,-2.07
171.17,-0.052,-0.051,-2.07
171.72,-0.052,-0.051,-2.07
171.77,-0.052,-0.051,-2.07
171.82,-0.052,-0.051,-2.07
172.37,-0.052,-0.051,-2.07
172.42,-0.052,-0.051,-2.069
172.47,-0.052,-0.051,-2.069
173.03,-0.052,-0.051,-2.069
173.08,-0.052,-0.051,-2.069
173.63,-0.052,-0.051,-2.069
173.68,-0.052,-0.051,-2.069
173.73,-0.052,-0.051,-2.069
174.28,-0.052,-0.051,-2.069
174.33,-0.052,-0.051,-2.068
